{ Acc x: -0.27 , Acc y: -0.47 , Acc z: 9.53 , Apogeo: 9.55 , Apogeo2: 0.01 , Tiempo seg:  , 7 , apote2: 0.00 , apote1: 0.00 , Altura: -0.09},
{ Acc x: -0.24 , Acc y: -0.42 , Acc z: 9.52 , Apogeo: 9.53 , Apogeo2: 0.01 , Tiempo seg:  , 8 , apote2: 0.00 , apote1: 0.00 , Altura: -0.09},
{ Acc x: -0.32 , Acc y: -0.48 , Acc z: 9.55 , Apogeo: 9.57 , Apogeo2: 0.01 , Tiempo seg:  , 8 , apote2: 0.00 , apote1: 0.00 , Altura: -0.09},
{ Acc x: 0.24 , Acc y: -0.13 , Acc z: 9.53 , Apogeo: 9.53 , Apogeo2: 0.00 , Tiempo seg:  , 8 , apote2: 0.00 , apote1: 0.00 , Altura: -0.09},
{ Acc x: 1.00 , Acc y: -0.26 , Acc z: 9.61 , Apogeo: 9.67 , Apogeo2: 0.00 , Tiempo seg:  , 8 , apote2: 0.00 , apote1: 0.00 , Altura: -0.09},
{ Acc x: -0.87 , Acc y: -1.79 , Acc z: 9.47 , Apogeo: 9.68 , Apogeo2: 0.00 , Tiempo seg:  , 8 , apote2: 0.00 , apote1: 0.00 , Altura: -0.09},
{ Acc x: -0.29 , Acc y: -0.44 , Acc z: 9.53 , Apogeo: 9.54 , Apogeo2: 0.00 , Tiempo seg:  , 8 , apote2: 0.00 , apote1: 0.00 , Altura: -0.09},
{ Acc x: -0.54 , Acc y: -0.60 , Acc z: 9.55 , Apogeo: 9.58 , Apogeo2: 0.00 , Tiempo seg:  , 8 , apote2: 0.00 , apote1: 0.00 , Altura: -0.09},
{ Acc x: 0.36 , Acc y: 2.10 , Acc z: 8.27 , Apogeo: 8.54 , Apogeo2: 0.00 , Tiempo seg:  , 8 , apote2: 0.00 , apote1: 0.00 , Altura: 0.09},
{ Acc x: -0.06 , Acc y: -0.28 , Acc z: 9.41 , Apogeo: 9.41 , Apogeo2: 0.14 , Tiempo seg:  , 9 , apote2: 0.00 , apote1: 0.00 , Altura: 0.09},
{ Acc x: -0.45 , Acc y: -0.68 , Acc z: 9.53 , Apogeo: 9.56 , Apogeo2: 0.14 , Tiempo seg:  , 9 , apote2: 0.00 , apote1: 0.00 , Altura: 0.09},
{ Acc x: -0.40 , Acc y: -0.50 , Acc z: 9.46 , Apogeo: 9.48 , Apogeo2: 0.14 , Tiempo seg:  , 9 , apote2: 0.00 , apote1: 0.00 , Altura: 0.09},
{ Acc x: -0.33 , Acc y: -0.42 , Acc z: 9.54 , Apogeo: 9.55 , Apogeo2: -0.10 , Tiempo seg:  , 9 , apote2: 0.00 , apote1: 0.00 , Altura: -0.09},
{ Acc x: -0.36 , Acc y: -0.45 , Acc z: 9.52 , Apogeo: 9.54 , Apogeo2: -0.10 , Tiempo seg:  , 9 , apote2: 0.00 , apote1: 0.00 , Altura: -0.09},
{ Acc x: -0.34 , Acc y: -0.45 , Acc z: 9.51 , Apogeo: 9.53 , Apogeo2: -0.10 , Tiempo seg:  , 9 , apote2: 0.00 , apote1: 0.00 , Altura: -0.09},
{ Acc x: -0.36 , Acc y: -0.71 , Acc z: 9.34 , Apogeo: 9.37 , Apogeo2: 0.01 , Tiempo seg:  , 9 , apote2: 0.00 , apote1: 0.00 , Altura: -0.09},
{ Acc x: -2.13 , Acc y: 0.46 , Acc z: 9.61 , Apogeo: 9.85 , Apogeo2: 0.01 , Tiempo seg:  , 9 , apote2: 0.00 , apote1: 0.00 , Altura: 0.00},
{ Acc x: -2.56 , Acc y: -0.16 , Acc z: 10.90 , Apogeo: 11.20 , Apogeo2: 0.01 , Tiempo seg:  , 10 , apote2: 0.00 , apote1: 0.00 , Altura: 0.00},
{ Acc x: 0.28 , Acc y: 0.86 , Acc z: 9.08 , Apogeo: 9.12 , Apogeo2: 0.08 , Tiempo seg:  , 10 , apote2: 0.00 , apote1: 0.00 , Altura: 0.00},
{ Acc x: -0.33 , Acc y: 0.01 , Acc z: 8.99 , Apogeo: 9.00 , Apogeo2: 0.08 , Tiempo seg:  , 10 , apote2: 0.00 , apote1: 0.00 , Altura: 0.00},
{ Acc x: -0.21 , Acc y: -1.79 , Acc z: 9.63 , Apogeo: 9.80 , Apogeo2: 0.08 , Tiempo seg:  , 10 , apote2: 0.00 , apote1: 0.00 , Altura: -0.09},
{ Acc x: 1.13 , Acc y: 1.62 , Acc z: 8.62 , Apogeo: 8.84 , Apogeo2: -0.07 , Tiempo seg:  , 10 , apote2: 0.00 , apote1: 0.00 , Altura: -0.09},
{ Acc x: 3.99 , Acc y: 0.27 , Acc z: 8.59 , Apogeo: 9.48 , Apogeo2: -0.07 , Tiempo seg:  , 10 , apote2: 0.00 , apote1: 0.00 , Altura: -0.09},
{ Acc x: 3.97 , Acc y: -1.06 , Acc z: 8.68 , Apogeo: 9.60 , Apogeo2: -0.07 , Tiempo seg:  , 10 , apote2: 0.00 , apote1: 0.00 , Altura: -0.09},
